id,code,name,reconcile,account_type,chart_template_id:id
co_puc_254000,254000,"[Liabilities] Laboral obligations - Labor indemnities",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_260500,260500,"[Liabilities] Estimated liabilities and provisions - For costs and expenses",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_261000,261000,"[Liabilities] Estimated liabilities and provisions - For laboral obligations",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_261500,261500,"[Liabilities] Estimated liabilities and provisions - For fiscal obligations",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_262000,262000,"[Liabilities] Estimated liabilities and provisions - For retirement pensions",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_262500,262500,"[Liabilities] Estimated liabilities and provisions - For urban planning works",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_263000,263000,"[Liabilities] Estimated liabilities and provisions - For maintenance and repair",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_263500,263500,"[Liabilities] Estimated liabilities and provisions - For contingencies",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_264000,264000,"[Liabilities] Estimated liabilities and provisions - For collateral obligations",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_269500,269500,"[Liabilities] Estimated liabilities and provisions - Other provisions",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_270500,270500,"[Liabilities] Deferred - Income received in advance",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_271000,271000,"[Liabilities] Deferred - Payments",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_271500,271500,"[Liabilities] Deferred - Profit on installment sales",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_272500,272500,"[Liabilities] Deferred - Taxes",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_280500,280500,"[Liabilities] Various - Received advances",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_281000,281000,"[Liabilities] Various - Received deposits",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_281500,281500,"[Liabilities] Various - Income received from third parties",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_282000,282000,"[Liabilities] Various - Jointly operated accounts",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_282500,282500,"[Liabilities] Various - Withholding on contracts with third parties",FALSE,liability_current,l10n_co_chart_template_generic
co_puc_283000,283000,"[Liabilities] Various - Judicial liens",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_283500,283500,"[Liabilities] Various - System creditors",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_284000,284000,"[Liabilities] Various - Participation accounts",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_289500,289500,"[Liabilities] Various - Others",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_290500,290500,"[Liabilities] Bonds and commercial papers - Outstanding bonds",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_291000,291000,"[Liabilities] Bonds and commercial papers - Bonds obligatorily convertible into actions",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_291500,291500,"[Liabilities] Bonds and commercial papers - Commercial papers",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_292000,292000,"[Liabilities] Bonds and commercial papers - Pension bonds",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_292500,292500,"[Liabilities] Bonds and commercial papers - Pension titles",FALSE,liability_non_current,l10n_co_chart_template_generic
co_puc_310500,310500,"[Equity] Social capital - Subscribed and paid-in capital",FALSE,equity,l10n_co_chart_template_generic
co_puc_311500,311500,"[Equity] Social capital - Social contributions",FALSE,equity,l10n_co_chart_template_generic
co_puc_312000,312000,"[Equity] Social capital - Assigned capital",FALSE,equity,l10n_co_chart_template_generic
co_puc_312500,312500,"[Equity] Social capital - Supplementary investment to allocated capital",FALSE,equity,l10n_co_chart_template_generic
co_puc_313000,313000,"[Equity] Social capital - Equity of individuals",FALSE,equity,l10n_co_chart_template_generic
