"id","name","applicability"
"account_tag_external_code_5001","5001","accounts"
"account_tag_external_code_5002","5002","accounts"
"account_tag_external_code_5003","5003","accounts"
"account_tag_external_code_5004","5004","accounts"
"account_tag_external_code_5005","5005","accounts"
"account_tag_external_code_5006","5006","accounts"
"account_tag_external_code_5007","5007","accounts"
"account_tag_external_code_5080","5080","accounts"
"account_tag_external_code_5084","5084","accounts"
"account_tag_external_code_5100","5100","accounts"
"account_tag_external_code_5200","5200","accounts"
"account_tag_external_code_5300","5300","accounts"
"account_tag_external_code_5310","5310","accounts"
"account_tag_external_code_5320","5320","accounts"
"account_tag_external_code_5330","5330","accounts"
"account_tag_external_code_5340","5340","accounts"
"account_tag_external_code_5350","5350","accounts"
"account_tag_external_code_5360","5360","accounts"
"account_tag_external_code_5370","5370","accounts"
"account_tag_external_code_5400","5400","accounts"
"account_tag_external_code_5410","5410","accounts"
"account_tag_external_code_5411","5411","accounts"
"account_tag_external_code_5412","5412","accounts"
"account_tag_external_code_5414","5414","accounts"
"account_tag_external_code_5415","5415","accounts"
"account_tag_external_code_5416","5416","accounts"
"account_tag_external_code_5417","5417","accounts"
"account_tag_external_code_5440","5440","accounts"
"account_tag_external_code_5441","5441","accounts"
"account_tag_external_code_5450","5450","accounts"
"account_tag_external_code_5451","5451","accounts"
"account_tag_external_code_5460","5460","accounts"
"account_tag_external_code_5461","5461","accounts"
"account_tag_external_code_5470","5470","accounts"
"account_tag_external_code_5471","5471","accounts"
"account_tag_external_code_5500","5500","accounts"
"account_tag_external_code_5501","5501","accounts"
"account_tag_external_code_5600","5600","accounts"
"account_tag_external_code_5601","5601","accounts"
"account_tag_external_code_5610","5610","accounts"
"account_tag_external_code_5615","5615","accounts"
"account_tag_external_code_5620","5620","accounts"
"account_tag_external_code_5621","5621","accounts"
"account_tag_external_code_5700","5700","accounts"
"account_tag_external_code_5750","5750","accounts"
"account_tag_external_code_5770","5770","accounts"
"account_tag_external_code_5772","5772","accounts"
"account_tag_external_code_5774","5774","accounts"
"account_tag_external_code_5780","5780","accounts"
"account_tag_external_code_5800","5800","accounts"
"account_tag_external_code_5801","5801","accounts"
"account_tag_external_code_5802","5802","accounts"
"account_tag_external_code_5803","5803","accounts"
"account_tag_external_code_5805","5805","accounts"
"account_tag_external_code_5806","5806","accounts"
"account_tag_external_code_5810","5810","accounts"
"account_tag_external_code_5811","5811","accounts"
"account_tag_external_code_5812","5812","accounts"
"account_tag_external_code_5820","5820","accounts"
"account_tag_external_code_5821","5821","accounts"
"account_tag_external_code_5822","5822","accounts"
"account_tag_external_code_5830","5830","accounts"
