"id","code","name","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile"
"l10n_si_220","220","Kratkoročne obveznosti (dolgovi) do dobaviteljev v državi","account.data_account_type_payable","l10n_si.l10n_si_chart_template","","True"
"l10n_si_221","221","Kratkoročne obveznosti (dolgovi) do dobaviteljev v tujini","account.data_account_type_payable","l10n_si.l10n_si_chart_template","","True"
"l10n_si_222","222","Kratkoročni blagovni krediti, prejeti v državi","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_223","223","Kratkoročni blagovni krediti, prejeti v tujini","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_224","224","Kratkoročne obveznosti (dolgovi) za nezaračunane blago in storitve","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_227","227","Kratkoročne poslovne obveznosti do družb v skupini","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_230","230","Prejeti kratkoročni predujmi","account.data_account_type_payable","l10n_si.l10n_si_chart_template","","True"
"l10n_si_231","231","Prejete kratkoročne varščine","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_240","240","Kratkoročne obveznosti iz izvoza za tuj račun","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_241","241","Kratkoročne obveznosti do uvoznikov","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_242","242","Kratkoročne obveznosti iz komisijske in konsignacijske prodaje","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_245","245","Druge kratkoročne obveznosti iz poslovanja za tuj račun","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_250","250","Kratkoročne obveznosti za vračunane in neobračunane plače","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_251","251","Kratkoročne obveznosti za neto plače in nadomestila plač","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_252","252","Kratkoročne obveznosti za prispevke za socialno varnost po vrstah prispevkov","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_253","253","Kratkoročne obveznosti za prispevke iz bruto plač in nadomestil plač","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_254","254","Kratkoročne obveznosti za davke iz bruto plač in nadomestil plač","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_255","255","Kratkoročne obveznosti za druge prejemke iz delovnega razmerja","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_256","256","Kratkoročne obveznosti za prispevke iz drugih prejemkov iz delovnega razmerja, ki se ne obračunavajo skupaj s plačami","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_257","257","Kratkoročne obveznosti za davek iz drugih prejemkov iz delovnega razmerja, ki se ne obračunavajo skupaj s plačami","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_258","258","Obveznosti za prispevke izplačevalca","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_260","260","Obveznosti za obračunani DDV","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_261","261","Obveznosti za DDV, carino in druge dajatve od uvoženega blaga","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_262","262","Obveznosti za prispevke","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_263","263","Obveznosti za akontacijo dohodnine od dohodka iz dejavnosti","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_264","264","Obveznosti za davek od dohodkov pravnih oseb","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_265","265","Obveznosti za davčni odtegljaj","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_266","266","Druge kratkoročne obveznosti do državnih in drugih inštitucij","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_267","267","Kratkoročne obveznosti za prispevke za socialno varnost samostojnih podjetnikov posameznikov","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_270","270","Kratkoročna posojila, dobljena pri organizacijah v skupini","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_271","271","Kratkoročna posojila, dobljena pri pridruženih organizacijah in skupaj obvladovanih organizacijah","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_272","272","Kratkoročna posojila, dobljena pri bankah in organizacijah v državi","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_273","273","Kratkoročna posojila, dobljena pri bankah in organizacijah v tujini","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_274","274","Kratkoročne finančne obveznosti v zvezi z obveznicami","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_275","275","Kratkoročne obveznosti iz najema","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_276","276","Kratkoročne finančne obveznosti do fizičnih oseb","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_277","277","Kratkoročne obveznosti v zvezi z razdelitvijo poslovnega izida","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_278","278","Obveznosti iz vplačila kapitala do vpisa v sodni register","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_279","279","Druge kratkoročne finančne obveznosti","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_280","280","Kratkoročne obveznosti za obresti","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_281","281","Kratkoročne menične obveznosti","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_282","282","Kratkoročne obveznosti v zvezi z odtegljaji od plač in nadomestil plač zaposlenim","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
"l10n_si_285","285","Ostale kratkoročne poslovne obveznosti","account.data_account_type_current_liabilities","l10n_si.l10n_si_chart_template","","False"
